title,url,seoName,companyid
Asian Paints Ltd.,/asian-paints-ltd/stocks/companyid-14034.cms,asian-paints-ltd,14034
Hindustan Zinc Ltd.,/hindustan-zinc-ltd/stocks/companyid-11982.cms,hindustan-zinc-ltd,11982
Future Retail Ltd.,/future-retail-ltd/stocks/companyid-45395.cms,future-retail-ltd,45395
Sundaram Clayton Ltd.,/sundaram-clayton-ltd/stocks/companyid-12921.cms,sundaram-clayton-ltd,12921
LIC Housing Finance Ltd.,/lic-housing-finance-ltd/stocks/companyid-10823.cms,lic-housing-finance-ltd,10823
TVS Motor Company Ltd.,/tvs-motor-company-ltd/stocks/companyid-12940.cms,tvs-motor-company-ltd,12940
Tata Steel BSL Ltd.,/tata-steel-bsl-ltd/stocks/companyid-10434.cms,tata-steel-bsl-ltd,10434
Max Financial Services Ltd.,/max-financial-services-ltd/stocks/companyid-13435.cms,max-financial-services-ltd,13435
Dr. Reddy's Laboratories Ltd.,/dr-reddys-laboratories-ltd/stocks/companyid-13841.cms,dr-reddys-laboratories-ltd,13841
PTC India Ltd.,/ptc-india-ltd/stocks/companyid-3145.cms,ptc-india-ltd,3145
UCO Bank,/uco-bank/stocks/companyid-9180.cms,uco-bank,9180
IDFC First Bank Ltd.,/idfc-first-bank-ltd/stocks/companyid-62245.cms,idfc-first-bank-ltd,62245
Cipla Ltd.,/cipla-ltd/stocks/companyid-13917.cms,cipla-ltd,13917
EID Parry (India) Ltd.,/eid-parry-india-ltd/stocks/companyid-13818.cms,eid-parry-india-ltd,13818
Tata Communications Ltd.,/tata-communications-ltd/stocks/companyid-11992.cms,tata-communications-ltd,11992
Tata Chemicals Ltd.,/tata-chemicals-ltd/stocks/companyid-12913.cms,tata-chemicals-ltd,12913
Aditya Birla Capital Ltd.,/aditya-birla-capital-ltd/stocks/companyid-66696.cms,aditya-birla-capital-ltd,66696
Shriram Transport Finance Company Ltd.,/shriram-transport-finance-company-ltd/stocks/companyid-13106.cms,shriram-transport-finance-company-ltd,13106
MRF Ltd.,/mrf-ltd/stocks/companyid-11381.cms,mrf-ltd,11381
Apollo Tyres Ltd.,/apollo-tyres-ltd/stocks/companyid-63.cms,apollo-tyres-ltd,63
Lupin Ltd.,/lupin-ltd/stocks/companyid-10743.cms,lupin-ltd,10743
ACC Ltd.,/acc-ltd/stocks/companyid-6.cms,acc-ltd,6
Federal Bank Ltd.,/federal-bank-ltd/stocks/companyid-9211.cms,federal-bank-ltd,9211
Rail Vikas Nigam Ltd.,/rail-vikas-nigam-ltd/stocks/companyid-18466.cms,rail-vikas-nigam-ltd,18466
Oil India Ltd.,/oil-india-ltd/stocks/companyid-4547.cms,oil-india-ltd,4547
Piramal Enterprises Ltd.,/piramal-enterprises-ltd/stocks/companyid-13332.cms,piramal-enterprises-ltd,13332
L&T Finance Holdings Ltd.,/lt-finance-holdings-ltd/stocks/companyid-30050.cms,lt-finance-holdings-ltd,30050
Exide Industries Ltd.,/exide-industries-ltd/stocks/companyid-13895.cms,exide-industries-ltd,13895
Cadila Healthcare Ltd.,/cadila-healthcare-ltd/stocks/companyid-3778.cms,cadila-healthcare-ltd,3778
Siemens Ltd.,/siemens-ltd/stocks/companyid-13102.cms,siemens-ltd,13102
Torrent Power Ltd.,/torrent-power-ltd/stocks/companyid-18767.cms,torrent-power-ltd,18767
